scenario,layer,rows,concurrency,arm,network_bytes_per_row,network_messages,status
COMMODITY_GOOD,91,2,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_GOOD,91,2,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_GOOD,91,2,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_GOOD,91,2,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_GOOD,91,2,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_GOOD,91,2,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_GOOD,91,2,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_GOOD,91,2,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_GOOD,91,2,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_GOOD,91,2,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_GOOD,91,2,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_GOOD,91,2,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_GOOD,91,2,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_GOOD,91,2,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_GOOD,91,2,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_GOOD,91,4,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_GOOD,91,4,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_GOOD,91,4,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_GOOD,91,4,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_GOOD,91,4,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_GOOD,91,4,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_GOOD,91,4,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_GOOD,91,4,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_GOOD,91,4,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_GOOD,91,4,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_GOOD,91,4,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_GOOD,91,4,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_GOOD,91,4,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_GOOD,91,4,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_GOOD,91,4,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_GOOD,91,4,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_REGIONAL,89,1,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,1,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,1,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,1,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,1,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,1,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,1,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,1,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,1,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,1,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,1,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,1,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,1,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_REGIONAL,89,1,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_REGIONAL,89,1,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_REGIONAL,89,1,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_REGIONAL,89,2,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,2,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,2,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,2,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,2,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,2,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,2,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,2,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,2,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,2,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,2,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,2,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,2,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_REGIONAL,89,2,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_REGIONAL,89,2,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_REGIONAL,89,2,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_REGIONAL,89,4,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,4,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,4,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,4,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,4,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,4,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,4,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,4,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,4,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,89,4,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,89,4,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,89,4,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,89,4,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_REGIONAL,89,4,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_REGIONAL,89,4,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_REGIONAL,89,4,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_REGIONAL,91,1,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,1,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,1,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,1,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,1,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,1,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,1,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,1,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,1,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,1,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,1,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,1,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,1,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_REGIONAL,91,1,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_REGIONAL,91,1,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_REGIONAL,91,1,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_REGIONAL,91,2,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,2,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,2,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,2,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,2,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,2,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,2,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,2,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,2,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,2,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,2,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,2,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,2,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_REGIONAL,91,2,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_REGIONAL,91,2,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_REGIONAL,91,2,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_REGIONAL,91,4,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,4,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,4,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,4,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,4,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,4,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,4,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,4,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,4,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_REGIONAL,91,4,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_REGIONAL,91,4,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_REGIONAL,91,4,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_REGIONAL,91,4,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_REGIONAL,91,4,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_REGIONAL,91,4,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_REGIONAL,91,4,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_WAN,89,1,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,1,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,1,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,1,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,1,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,1,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,1,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,1,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,1,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,1,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,1,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,1,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,1,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_WAN,89,1,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_WAN,89,1,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_WAN,89,1,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_WAN,89,2,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,2,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,2,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,2,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,2,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,2,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,2,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,2,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,2,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,2,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,2,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,2,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,2,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_WAN,89,2,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_WAN,89,2,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_WAN,89,2,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_WAN,89,4,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,4,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,4,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,4,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,4,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,4,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,4,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,4,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,4,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,89,4,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,89,4,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,89,4,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,89,4,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_WAN,89,4,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_WAN,89,4,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_WAN,89,4,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_WAN,91,1,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,1,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,1,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,1,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,1,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,1,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,1,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,1,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,1,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,1,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,1,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,1,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,1,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_WAN,91,1,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_WAN,91,1,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_WAN,91,1,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_WAN,91,2,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,2,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,2,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,2,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,2,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,2,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,2,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,2,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,2,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,2,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,2,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,2,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,2,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_WAN,91,2,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_WAN,91,2,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_WAN,91,2,128,D_FUSE_OUTPUT,515200.0,17920,PASS
COMMODITY_WAN,91,4,1,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,4,1,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,4,1,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,4,1,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,4,8,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,4,8,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,4,8,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,4,8,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,4,32,A_CURRENT,1004416.0,10752,PASS
COMMODITY_WAN,91,4,32,B_RETAIN_HIDDEN,803712.0,10752,PASS
COMMODITY_WAN,91,4,32,C_SLICE_LATENT,715904.0,10752,PASS
COMMODITY_WAN,91,4,32,D_FUSE_OUTPUT,515200.0,8960,PASS
COMMODITY_WAN,91,4,128,A_CURRENT,1004416.0,21504,PASS
COMMODITY_WAN,91,4,128,B_RETAIN_HIDDEN,803712.0,21504,PASS
COMMODITY_WAN,91,4,128,C_SLICE_LATENT,715904.0,21504,PASS
COMMODITY_WAN,91,4,128,D_FUSE_OUTPUT,515200.0,17920,PASS
