inventory_id,arm,network_mode,concurrency,network_bytes,transfer_count,network_queue_wait_ms,maximum_tx_utilization,maximum_rx_utilization,maximum_directed_link_utilization,target_rows_measured,network_bytes_per_target_row
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,7490322432,68736,8196.90332163326,0.02471577919718599,0.023273253783363437,0.004895991249967126,2176,3442243.7647058824
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,7078333824,65029,9010.781179995596,0.10577684323312239,0.09962486886478149,0.020880840015538207,2057,3441095.6849781233
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5674330368,52135,7197.7510632885605,0.08380884563982122,0.07893638227773087,0.01653797549480733,1649,3441073.600970285
coarse-friendly-01,FLEX_FREE,SHARED_NIC,64,3803304960,34939,4821.162893608802,0.055159658178670946,0.05195463372079332,0.010878106715124129,1105,3441904.9411764704
coarse-friendly-01,FLEX_FREE,SHARED_NIC,128,7545182976,69283,9400.387961066852,0.05527049758357328,0.05204584509518094,0.010945201014048075,2193,3440575.9124487005
coarse-friendly-01,FLEX_FREE_NO_ALT,SHARED_NIC,1,7497695232,69248,8987.595571233245,0.025230005632930295,0.023807694646356372,0.004826848374699212,2176,3445632.0
coarse-friendly-01,FLEX_FREE_NO_ALT,SHARED_NIC,8,7087665024,65461,9750.52823079655,0.10764415214140974,0.10157584353860348,0.02059381231891118,2057,3445632.0
coarse-friendly-01,FLEX_FREE_NO_ALT,SHARED_NIC,32,5681847168,52477,7775.393844786948,0.08620672329755345,0.08134692376177312,0.01649253624001718,1649,3445632.0
coarse-friendly-01,FLEX_FREE_NO_ALT,SHARED_NIC,64,3807423360,35165,5313.16418101616,0.057850978178179954,0.05458969940385091,0.011067690751112821,1105,3445632.0
coarse-friendly-01,FLEX_FREE_NO_ALT,SHARED_NIC,128,7556270976,69789,10328.11502476268,0.05747608673719837,0.05423594201345348,0.010995968843122901,2193,3445632.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,8434040832,88192,0.0,0.008116654333514918,0.007697154589837752,0.0020936277736965164,2176,3875937.882352941
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,7972804224,83369,0.0,0.007672774799657192,0.007276216448212036,0.001979132504824131,2057,3875937.882352941
